attempt,stop_addr,stop_fn,delay,target,bitflip,code,seed
0,0x08003146,prvIdleTask,0.153,0x2000b428,1,0,3735928559
1,0x0800053c,prvInsertBlockIntoFreeList,0.583,0x2000a608,128,0,3735928559
2,0x080030f0,prvIdleTask,0.381,0x20001d37,128,1,3735928559
3,0x0800d100,prvCheckTasksWaitingTermination_dup,0.653,0x20007e91,2,0,3735928559
4,memset,"<ucHeap+3040>,",0.057,0x20008a17,4,0,3735928559
5,0x0800df40,xQueueGenericCreateStatic_ret_dup,0.187,0x20003bf1,128,0,3735928559
6,0x08003594,xQueueReceive_ret_dup,0.744,0x2000a0f4,64,0,3735928559
7,0x0800d0bc,prvCheckTasksWaitingTermination_dup,0.319,0x200090ed,2,0,3735928559
8,0x08006834,xTaskResumeAll_ret_dup,0.494,0x20009b56,64,0,3735928559
9,0x08012b10,crc32buf_ret_dup,0.979,0x2000aff0,16,1,3735928559
10,0x08003140,prvIdleTask,0.501,0x2000c9ab,16,0,3735928559
11,0x080112a6,Multiply_dup,0.465,0x2000cd23,32,0,3735928559
12,0x0800d08e,prvCheckTasksWaitingTermination_dup,0.15,0x2000d79c,4,0,3735928559
13,0x0801cc54,vTaskResume_dup,0.918,0x20007616,2,0,3735928559
14,0x08002902,vTaskSwitchContext,0.844,0x2000414d,128,0,3735928559
15,0x080001bc,memset,0.098,0x200022a1,1,1,3735928559
16,0x0801d44c,vTaskDelete_dup,0.815,0x2000b322,4,0,3735928559
17,0x0800d100,prvCheckTasksWaitingTermination_dup,0.765,0x2000ac77,1,0,3735928559
18,0x080030fc,prvIdleTask,0.562,0x20009edf,64,0,3735928559
19,0x0801f426,Reset_Handler,0.001,0x20001830,2,0,3735928559
20,0x0801bc0c,vTaskPrioritySet_dup,0.701,0x2000bc4d,8,0,3735928559
21,0x080112f4,Multiply_dup,0.903,0x20004d7f,64,0,3735928559
22,0x0800d0f4,prvCheckTasksWaitingTermination_dup,0.567,0x20001cd3,32,1,3735928559
23,0x0800d08a,prvCheckTasksWaitingTermination_dup,0.782,0x2000b76b,4,0,3735928559
24,0x08012aa8,crc32buf_ret_dup,0.612,0x20002ad3,2,0,3735928559
25,0x0801dabc,vPortEnterCritical,0.535,0x2000bb4d,32,0,3735928559
26,memset,"<ucHeap+8304>,",0.079,0x20004c76,1,0,3735928559
27,0x0800d0b6,prvCheckTasksWaitingTermination_dup,0.516,0x2000439e,1,0,3735928559
28,0x08011358,Multiply_dup,0.683,0x200053ae,4,2,3735928559
29,0x08003296,xQueueReceive_ret_dup,0.399,0x20008155,64,0,3735928559
30,0x0800309e,prvIdleTask,0.414,0x2000a9a2,8,0,3735928559
31,0x0800d27e,vListInitialise_dup,0.053,0x2000ab15,8,0,3735928559
32,0x0800313c,prvIdleTask,0.527,0x2000bdf8,2,0,3735928559
33,0x08002cee,vTaskSwitchContext,0.946,0x200012da,64,1,3735928559
34,0x0801534e,xTimerIsTimerActive_ret_dup,0.393,0x20004d4d,16,0,3735928559
35,0x0800a55c,xQueueGenericSend_ret_dup,0.265,0x2000cd01,4,0,3735928559
36,0x080030a2,prvIdleTask,0.809,0x2000aa4c,64,0,3735928559
37,memset,"<xStack>,",0.417,0x200077c0,32,0,3735928559
38,0x08002e7c,vTaskSwitchContext,0.404,0x20004bbf,2,0,3735928559
39,0x0801db16,vPortExitCritical,0.408,0x20008685,16,0,3735928559
40,memset,"<ucHeap+11336>,",0.093,0x20001d4e,64,1,3735928559
41,0x0800d0c4,prvCheckTasksWaitingTermination_dup,0.946,0x2000bbe6,8,0,3735928559
42,0x08010c72,vTaskDelay_dup,0.865,0x2000b96d,8,0,3735928559
43,0x08012af6,crc32buf_ret_dup,0.492,0x20004ca7,16,0,3735928559
44,memset,"<xStack>,",0.221,0x2000bbc9,32,0,3735928559
45,0x0800d22e,prvCheckTasksWaitingTermination_dup,0.56,0x2000ce5a,32,0,3735928559
46,0x08004ffa,prvCopyDataFromQueue_dup,0.162,0x2000576c,64,0,3735928559
47,0x08003136,prvIdleTask,0.924,0x2000b73b,32,0,3735928559
48,0x08015d40,prvInitialiseNewTimer_dup,0.484,0x2000734b,32,0,3735928559
49,0x08000404,pvPortMalloc,0.092,0x2000a74b,8,0,3735928559
50,0x080021b8,xTaskIncrementTick,0.245,0x20003e35,32,0,3735928559
51,0x080027c6,xTaskIncrementTick,0.213,0x2000cbf1,2,0,3735928559
52,0x08012a64,crc32buf_ret_dup,0.732,0x2000c3a3,2,0,3735928559
53,0x080047f4,vListInsert_dup,0.837,0x20007a43,128,0,3735928559
54,0x08010cf2,vTaskDelay_dup,0.664,0x20004416,4,0,3735928559
55,memset,"<ucHeap+18832>,",0.135,0x20004a56,32,0,3735928559
56,0x0801138c,Multiply_dup,0.469,0x20006a38,2,0,3735928559
57,0x0800d0ca,prvCheckTasksWaitingTermination_dup,0.702,0x200008a7,16,1,3735928559
58,memset,"<ucHeap+11336>,",0.1,0x200026f2,2,1,3735928559
59,0x0800d22e,prvCheckTasksWaitingTermination_dup,0.835,0x20003b4b,16,0,3735928559
60,0x08012abc,crc32buf_ret_dup,0.35,0x2000b1f3,4,0,3735928559
61,0x080026e6,xTaskIncrementTick,0.889,0x2000cff5,16,0,3735928559
62,0x080030f8,prvIdleTask,0.803,0x20009e68,4,0,3735928559
63,0x080030cc,prvIdleTask,0.671,0x200048a5,2,0,3735928559
64,0x08004824,vListInsert_dup,0.568,0x20002fba,4,0,3735928559
65,memset,"<ucHeap+14600>,",0.114,0x20005b05,8,0,3735928559
66,0x0800bb3e,prvCopyDataToQueue_ret_dup,0.29,0x200074c0,16,0,3735928559
67,0x08012b54,crc32buf_ret_dup,0.367,0x200041bf,128,0,3735928559
68,0x080110b0,Initialize_dup,0.79,0x20008445,8,0,3735928559
69,0x080176aa,xStreamBufferIsFull_ret_dup,0.161,0x20008948,16,0,3735928559
70,0x08000582,prvInsertBlockIntoFreeList,0.037,0x2000ba24,32,0,3735928559
71,0x0800d0fa,prvCheckTasksWaitingTermination_dup,0.186,0x20002b73,4,0,3735928559
72,0x0800d0fc,prvCheckTasksWaitingTermination_dup,0.249,0x2000b106,16,0,3735928559
73,0x080030c2,prvIdleTask,0.39,0x20008362,64,0,3735928559
74,0x0800308e,prvIdleTask,0.818,0x20009aee,1,0,3735928559
75,0x08012afe,crc32buf_ret_dup,0.35,0x2000a291,2,0,3735928559
76,0x08011386,Multiply_dup,0.686,0x2000a957,2,0,3735928559
77,0x0800314a,prvIdleTask,0.752,0x2000d7d3,4,0,3735928559
78,0x0801db34,vPortExitCritical,0.383,0x2000a0bf,64,0,3735928559
79,0x0800bf32,prvCopyDataToQueue_ret_dup,0.377,0x2000c21c,1,0,3735928559
80,0x08004da2,xTaskGetSchedulerState_ret_dup,0.704,0x20006d6f,2,0,3735928559
81,0x0800aec6,xQueueGenericSend_ret_dup,0.959,0x200074f0,4,0,3735928559
82,0x08011354,Multiply_dup,0.794,0x200017f3,32,1,3735928559
83,0x0801f428,Reset_Handler,0.0,0x20003572,16,0,3735928559
84,0x0800ebfa,xQueueGenericReset_ret_dup,0.863,0x2000ac6c,16,0,3735928559
85,0x0801f426,Reset_Handler,0.007,0x20004a83,4,0,3735928559
86,0x0800309e,prvIdleTask,0.937,0x200043d7,32,0,3735928559
87,0x080030e6,prvIdleTask,0.389,0x200094a9,2,0,3735928559
