attempt,stop_addr,stop_fn,delay,target,bitflip,code
0,0x0800d504,prvAddNewTaskToReadyList,0.008,0x20003fb6,4,0
1,0x0800c7e8,prvInitialiseNewTask,0.0098,0x2000197f,64,0
2,0x08014aae,vQueueWaitForMessageRestricted,0.0018,0x20003f0e,2,1
3,0x08014aaa,vQueueWaitForMessageRestricted,0.0044,0x20001fac,16,1
4,0x08014aae,vQueueWaitForMessageRestricted,0.004,0x200045b1,1,1
5,0x0800cd44,prvInitialiseNewTask,0.0088,0x200009c1,2,0
6,0x0800faac,prvInitialiseNewQueue,0.0104,0x2000614c,16,0
7,0x08014aaa,vQueueWaitForMessageRestricted,0.0042,0x200029e2,4,1
8,0x08014aac,vQueueWaitForMessageRestricted,0.0052,0x20003066,16,1
9,0x0800dc58,prvIdleTask,0.0112,0x20004ca4,1,0
10,0x08001a28,vPortExitCritical,0.01,0x20006165,64,0
11,0x08014ab0,vQueueWaitForMessageRestricted,0.0032,0x200051f2,64,1
12,0x0800dba0,prvIdleTask,0.0118,0x20002768,1,0
13,0x08003544,uxListRemove,0.0094,0x2000246d,16,0
14,0x0800e896,prvAddCurrentTaskToDelayedList,0.0102,0x200015b8,128,0
15,0x08014aaa,vQueueWaitForMessageRestricted,0.0042,0x20006689,4,1
16,0x0800dc1e,prvIdleTask,0.0112,0x2000302c,64,0
19,0x08001a1e,vPortExitCritical,0.01,0x200039b0,2,0
20,0x08013fd8,vQueueAddToRegistry,0.0106,0x20000258,1,0
21,0x0800c76c,prvInitialiseNewTask,0.0076,0x2000387c,8,0
22,0x08014aaa,vQueueWaitForMessageRestricted,0.0046,0x2000174e,64,1
23,0x0800c988,prvInitialiseNewTask,0.009,0x2000430a,4,0
24,0x0800de92,prvCheckTasksWaitingTermination,0.0122,0x200036a7,4,0
25,0x080045e4,prvProcessTimerOrBlockTask,0.011,0x200045f5,16,0
26,0x0800de9c,prvCheckTasksWaitingTermination,0.0146,0x20000498,64,0
27,0x0800dbfe,prvIdleTask,0.0132,0x20003f03,8,0
28,0x0800e71e,prvAddCurrentTaskToDelayedList,0.0114,0x200039dc,64,0
30,0x0800db90,prvIdleTask,0.0152,0x20004ea4,32,0
31,0x0800db66,prvTaskIsTaskSuspended,0.016,0x20004bf5,4,0
32,0x08009d26,vTaskSuspendAll,0.0102,0x20005384,32,0
33,0x0800db66,prvTaskIsTaskSuspended,0.0112,0x20004f4e,64,0
34,0x0800db3e,prvTaskIsTaskSuspended,0.014,0x20000625,64,0
35,0x0800dc54,prvIdleTask,0.015,0x2000256b,16,0
36,0x0800dcbc,prvCheckTasksWaitingTermination,0.0146,0x20001a3f,1,0
37,0x0800dbf8,prvIdleTask,0.014,0x20004417,8,0
38,0x0801403c,vQueueAddToRegistry,0.0106,0x200054be,8,0
39,0x08009f18,xTaskResumeAll,0.0102,0x2000054c,32,0
40,0x0800dc1e,prvIdleTask,0.0132,0x20005bed,1,0
41,0x0800c6ba,prvInitialiseNewTask,0.0086,0x200039be,128,0
42,0x08010038,xQueueGenericReset,0.011,0x200040fb,128,0
43,0x0800db88,prvIdleTask,0.0118,0x200055fa,2,0
44,0x0800db62,prvTaskIsTaskSuspended,0.0158,0x20005313,8,0
45,0x0800db5e,prvTaskIsTaskSuspended,0.0136,0x200033e2,1,0
46,0x0800dc60,prvIdleTask,0.0184,0x200029b3,4,0
47,0x0800db7a,prvIdleTask,0.0134,0x20005158,1,0
48,0x0800336a,vListInsert,0.0108,0x20003724,64,0
49,0x0800dcd4,prvCheckTasksWaitingTermination,0.0142,0x200048f6,128,0
50,0x0800dccc,prvCheckTasksWaitingTermination,0.0174,0x20000dca,128,0
51,0x0800dc64,prvIdleTask,0.0126,0x20003130,1,0
52,0x0800de98,prvCheckTasksWaitingTermination,0.016,0x20004cd6,64,0
53,0x0800db70,prvIdleTask,0.0112,0x200004f6,128,0
